id,bookName,categories,author,publisher,edition,bookCountAvailable,totalCount,bookStatus,language,createdAt,updatedAt,rating,review_count,top_rated
65c2c3ad881df6d1bc84ae35,Data warehoushing OLAP and data mining,65c2ac3527c4e91908f3e3bb,S. Nagabhushana,New Age International Publisher,2,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,4.24,0,YES
65c2c3ad881df6d1bc84ae36,Mordern data warehouse mining and visulization,65c2ac3527c4e91908f3e3bb,George M. marakas,Pearson,2,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,4.94,0,YES
65c2c3ad881df6d1bc84ae37,Intrpduction to data mining,65c2ac3527c4e91908f3e3bb,"Pang-Ning Tan, \nMichael Steinback,\n Vipin Kumar",Pearson,1,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,2.87,0,NO
65c2c3ad881df6d1bc84ae38,Text mining Application programming,65c2ac3527c4e91908f3e3bb,Manu Konchody,Charles River Media,2,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,2.81,0,NO
65c2c3ad881df6d1bc84ae39,Data Mining,65c2ac3527c4e91908f3e3bb,Vikram pudi\nP Radha krishna,Oxford Higher Education,3,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,3.77,0,NO
65c2c3ad881df6d1bc84ae3a,The data warehouse lifestyle toolkit,65c2ac4027c4e91908f3e3cb,Ralph Kimball\nMorgy Ross \nJoy mundy \nBob beeber,Wiley India,3,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,3.3,0,NO
65c2c3ad881df6d1bc84ae3b,Introduction to data mining with case studies,65c2ac3527c4e91908f3e3bb,G.K. Gupta ,PHI Learning,2,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,4.54,0,YES
65c2c3ad881df6d1bc84ae3c,Web warehousing and knowledge management,65c2ac4027c4e91908f3e3cb,Rob mattison,McGraw Hill,5,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,4,0,YES
65c2c3ad881df6d1bc84ae3d,Data Mining concept and Technique,65c2ac3527c4e91908f3e3bb,Janel han \nMicheline kamber,Morgan Kaufmann Publishers,4,1,1,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,1.65,0,NO
65c2c3ad881df6d1bc84ae3e,Data mining method and?model,65c2ac3527c4e91908f3e3bb, Daniel  T. Larose ,Wiley,3,2,2,Available,English,2024-02-02 05:46:03,2024-02-02 05:46:03,2.43,0,NO
